id,sala,edificio,codigo,detalle,serial,inventario,estado,cantidad,observaciones
602,Almacen,FabLab,ALM-1,NULL,NULL,NULL,NULL,NULL,NULL
603,Almacen,FabLab,ALM-2,NULL,NULL,NULL,NULL,NULL,NULL
604,Almacen,FabLab,ALM-3,NULL,NULL,NULL,NULL,NULL,NULL
605,Almacen,FabLab,ALM-4,NULL,NULL,NULL,NULL,NULL,NULL
606,Almacen,FabLab,ALM-5,NULL,NULL,NULL,NULL,NULL,NULL
607,Almacen,FabLab,ALM-6,NULL,NULL,NULL,NULL,NULL,NULL
608,Almacen,FabLab,ALM-7,NULL,NULL,NULL,NULL,NULL,NULL
609,Almacen,FabLab,ALM-8,NULL,NULL,NULL,NULL,NULL,NULL
610,Almacen,FabLab,ALM-9,NULL,NULL,NULL,NULL,NULL,NULL
611,Almacen,FabLab,ALM-10,NULL,NULL,NULL,NULL,NULL,NULL
612,Almacen,FabLab,ALM-11,NULL,NULL,NULL,NULL,NULL,NULL
613,Almacen,FabLab,ALM-12,NULL,NULL,NULL,NULL,NULL,NULL
614,Almacen,FabLab,ALM-13,NULL,NULL,NULL,NULL,NULL,NULL
615,Almacen,FabLab,ALM-14,NULL,NULL,NULL,NULL,NULL,NULL
616,Almacen,FabLab,ALM-15,NULL,NULL,NULL,NULL,NULL,NULL
617,Almacen,FabLab,ALM-16,NULL,NULL,NULL,NULL,NULL,NULL
618,Almacen,FabLab,ALM-17,NULL,NULL,NULL,NULL,NULL,NULL
619,Almacen,FabLab,ALM-18,NULL,NULL,NULL,NULL,NULL,NULL
620,Almacen,FabLab,ALM-19,NULL,NULL,NULL,NULL,NULL,NULL
621,Almacen,FabLab,ALM-20,NULL,NULL,NULL,NULL,NULL,NULL
622,Almacen,FabLab,ALM-21,NULL,NULL,NULL,NULL,NULL,NULL
623,Almacen,FabLab,ALM-22,NULL,NULL,NULL,NULL,NULL,NULL
624,Almacen,FabLab,ALM-23,NULL,NULL,NULL,NULL,NULL,NULL
625,Almacen,FabLab,ALM-24,NULL,NULL,NULL,NULL,NULL,NULL
626,Almacen,FabLab,ALM-25,NULL,NULL,NULL,NULL,NULL,NULL
627,Almacen,FabLab,ALM-26,NULL,NULL,NULL,NULL,NULL,NULL
628,Almacen,FabLab,ALM-27,NULL,NULL,NULL,NULL,NULL,NULL
629,Almacen,FabLab,ALM-28,NULL,NULL,NULL,NULL,NULL,NULL
630,Almacen,FabLab,ALM-29,NULL,NULL,NULL,NULL,NULL,NULL
631,Almacen,FabLab,ALM-30,NULL,NULL,NULL,NULL,NULL,NULL
632,Almacen,FabLab,ALM-31,NULL,NULL,NULL,NULL,NULL,NULL
633,Almacen,FabLab,ALM-32,NULL,NULL,NULL,NULL,NULL,NULL
634,Almacen,FabLab,ALM-33,NULL,NULL,NULL,NULL,NULL,NULL
635,Almacen,FabLab,ALM-34,NULL,NULL,NULL,NULL,NULL,NULL
636,Almacen,FabLab,ALM-35,NULL,NULL,NULL,NULL,NULL,NULL
637,Almacen,FabLab,ALM-36,NULL,NULL,NULL,NULL,NULL,NULL
638,Almacen,FabLab,ALM-37,NULL,NULL,NULL,NULL,NULL,NULL
639,Almacen,FabLab,ALM-38,NULL,NULL,NULL,NULL,NULL,NULL
640,Almacen,FabLab,ALM-39,NULL,NULL,NULL,NULL,NULL,NULL
641,Almacen,FabLab,ALM-40,NULL,NULL,NULL,NULL,NULL,NULL
642,Almacen,FabLab,ALM-41,NULL,NULL,NULL,NULL,NULL,NULL
643,Almacen,FabLab,ALM-42,NULL,NULL,NULL,NULL,NULL,NULL
644,Almacen,FabLab,ALM-43,NULL,NULL,NULL,NULL,NULL,NULL
645,Almacen,FabLab,ALM-44,NULL,NULL,NULL,NULL,NULL,NULL
646,Almacen,FabLab,ALM-45,NULL,NULL,NULL,NULL,NULL,NULL
647,Almacen,FabLab,ALM-46,NULL,NULL,NULL,NULL,NULL,NULL
648,Almacen,FabLab,ALM-47,NULL,NULL,NULL,NULL,NULL,NULL
649,Almacen,FabLab,ALM-48,NULL,NULL,NULL,NULL,NULL,NULL
650,Almacen,FabLab,ALM-49,NULL,NULL,NULL,NULL,NULL,NULL
651,Almacen,FabLab,ALM-50,NULL,NULL,NULL,NULL,NULL,NULL
652,Almacen,FabLab,ALM-51,NULL,NULL,NULL,NULL,NULL,NULL
653,Almacen,FabLab,ALM-52,NULL,NULL,NULL,NULL,NULL,NULL
654,Almacen,FabLab,ALM-53,NULL,NULL,NULL,NULL,NULL,NULL
655,Almacen,FabLab,ALM-54,NULL,NULL,NULL,NULL,NULL,NULL
656,Almacen,FabLab,ALM-55,NULL,NULL,NULL,NULL,NULL,NULL
657,Almacen,FabLab,ALM-56,NULL,NULL,NULL,NULL,NULL,NULL
658,Almacen,FabLab,ALM-57,NULL,NULL,NULL,NULL,NULL,NULL
659,Almacen,FabLab,ALM-58,NULL,NULL,NULL,NULL,NULL,NULL
660,Almacen,FabLab,ALM-59,NULL,NULL,NULL,NULL,NULL,NULL
661,Almacen,FabLab,ALM-60,NULL,NULL,NULL,NULL,NULL,NULL
662,Almacen,FabLab,ALM-61,NULL,NULL,NULL,NULL,NULL,NULL
663,Almacen,FabLab,ALM-62,NULL,NULL,NULL,NULL,NULL,NULL
664,Almacen,FabLab,ALM-63,NULL,NULL,NULL,NULL,NULL,NULL
665,Almacen,FabLab,ALM-64,NULL,NULL,NULL,NULL,NULL,NULL
666,Almacen,FabLab,ALM-65,NULL,NULL,NULL,NULL,NULL,NULL
667,Almacen,FabLab,ALM-66,NULL,NULL,NULL,NULL,NULL,NULL
668,Almacen,FabLab,ALM-67,NULL,NULL,NULL,NULL,NULL,NULL
669,Almacen,FabLab,ALM-68,NULL,NULL,NULL,NULL,NULL,NULL
670,Almacen,FabLab,ALM-69,NULL,NULL,NULL,NULL,NULL,NULL
671,Almacen,FabLab,ALM-70,NULL,NULL,NULL,NULL,NULL,NULL
672,Almacen,FabLab,ALM-71,NULL,NULL,NULL,NULL,NULL,NULL
673,Almacen,FabLab,ALM-72,NULL,NULL,NULL,NULL,NULL,NULL
674,Almacen,FabLab,ALM-73,NULL,NULL,NULL,NULL,NULL,NULL
675,Almacen,FabLab,ALM-74,NULL,NULL,NULL,NULL,NULL,NULL
676,Almacen,FabLab,ALM-75,NULL,NULL,NULL,NULL,NULL,NULL
677,Almacen,FabLab,ALM-76,NULL,NULL,NULL,NULL,NULL,NULL
678,Almacen,FabLab,ALM-77,NULL,NULL,NULL,NULL,NULL,NULL
679,Almacen,FabLab,ALM-78,NULL,NULL,NULL,NULL,NULL,NULL
680,Almacen,FabLab,ALM-79,NULL,NULL,NULL,NULL,NULL,NULL
681,Almacen,FabLab,ALM-80,NULL,NULL,NULL,NULL,NULL,NULL
682,Almacen,FabLab,ALM-81,NULL,NULL,NULL,NULL,NULL,NULL
683,Almacen,FabLab,ALM-82,NULL,NULL,NULL,NULL,NULL,NULL
684,Almacen,FabLab,ALM-83,NULL,NULL,NULL,NULL,NULL,NULL
685,Almacen,FabLab,ALM-84,NULL,NULL,NULL,NULL,NULL,NULL
686,Almacen,FabLab,ALM-85,NULL,NULL,NULL,NULL,NULL,NULL
687,Almacen,FabLab,ALM-86,NULL,NULL,NULL,NULL,NULL,NULL
688,Almacen,FabLab,ALM-87,NULL,NULL,NULL,NULL,NULL,NULL
689,Almacen,FabLab,ALM-88,NULL,NULL,NULL,NULL,NULL,NULL
690,Almacen,FabLab,ALM-89,NULL,NULL,NULL,NULL,NULL,NULL
691,Almacen,FabLab,ALM-90,NULL,NULL,NULL,NULL,NULL,NULL
692,Almacen,FabLab,ALM-91,NULL,NULL,NULL,NULL,NULL,NULL
693,Almacen,FabLab,ALM-92,NULL,NULL,NULL,NULL,NULL,NULL
694,Almacen,FabLab,ALM-93,NULL,NULL,NULL,NULL,NULL,NULL
695,Almacen,FabLab,ALM-94,NULL,NULL,NULL,NULL,NULL,NULL
696,Almacen,FabLab,ALM-95,NULL,NULL,NULL,NULL,NULL,NULL
697,Almacen,FabLab,ALM-96,NULL,NULL,NULL,NULL,NULL,NULL
698,Almacen,FabLab,ALM-97,NULL,NULL,NULL,NULL,NULL,NULL
699,Almacen,FabLab,ALM-98,NULL,NULL,NULL,NULL,NULL,NULL
700,Almacen,FabLab,ALM-99,NULL,NULL,NULL,NULL,NULL,NULL
1,CNC,FabLab,NULL,FOAMI NEGRO 1.15 x 1.30,NULL,NULL,NULL,12,NULL
2,CNC,FabLab,NULL,DESECHOS DE LAMINA DE MADERA O TABLO PAN,NULL,NULL,NULL,-,NULL
3,CNC,FabLab,NULL,FOAMI NEGRO 0,765 x 1.30,NULL,NULL,NULL,6,NULL
4,CNC,FabLab,NULL,LAMINA AZUL,NULL,NULL,NULL,4,NULL
5,CNC,FabLab,NULL,LAMINA BLANCA,NULL,NULL,NULL,4,NULL
6,CNC,FabLab,NULL,LAMINA DE MADERA 1.22X 0.913 X 0.05,NULL,NULL,NULL,1,NULL
7,CNC,FabLab,NULL,LAMINA DE MADERA 1.22X 0.81 X 0.09,NULL,NULL,NULL,1,NULL
8,CNC,FabLab,NULL,LAMINA DE MELAMINA DELGADA COLOR BLANCO 1.22 X 0.925 X 0.04,NULL,NULL,NULL,8,NULL
9,CNC,FabLab,NULL,LAMINA DE MELAMINA DELGADA COLOR MARRON OSCURO 1.22 X 0.925 X 0.04,NULL,NULL,NULL,8,NULL
10,CNC,FabLab,NULL,LAMINA NEGRA,NULL,NULL,NULL,4,NULL
11,CNC,FabLab,NULL,LAMINAS DE CARTON,NULL,NULL,NULL,36,NULL
12,CNC,FabLab,NULL,LAMINAS DE MADERA COMPLETA - MELAMINA GRABADA VERDE,NULL,NULL,NULL,8,NULL
13,CNC,FabLab,NULL,PAPEL CARTON BLANCO ROLLO,NULL,NO TIENE,NULL,41,NULL
14,CNC,FabLab,NULL,TELA QUIRURGICA BLANCO,NULL,NO TIENE,NULL,1,NULL
15,CNC,FabLab,NULL,PULIDORA STANLEY AMARILLA,NULL,NULL,NULL,1,NULL
16,CNC,FabLab,NULL,ROLLO FOAMI RUSTICO BLANCO,NULL,NULL,NULL,6,NULL
17,CNC,FabLab,NULL,TABLA DE MADERA 0,97 X 0,195 X 0,045,NULL,NULL,NULL,21,NULL
